Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
easy slow cooker pasta recipes,Informational,390,"0.44,0.44,0.54,0.66,0.81,1.00,0.81,0.81,1.00,0.81,0.66,0.54",14,0.31,0.03,"AI Overview, Video, Video carousel, Short videos, Recipes, Related searches",150
quick and easy lasagna recipe,Informational,390,"0.54,0.54,0.67,0.81,1.00,0.81,1.00,1.00,1.00,1.00,1.00,1.00",19,0.30,0.21,"Video, Video carousel, Short videos, People also ask, Recipes, Related searches",140
banana bread easy recipe without baking soda,Informational,320,"0.66,0.66,0.29,0.29,0.66,0.54,1.00,0.81,1.00,0.81,1.00,0.66",14,0.62,0.01,"Sitelinks, Video, Short videos, People also ask, Recipes, Related searches",130
char broil big easy recipes,Informational,320,"0.08,0.11,0.22,0.08,0.08,0.08,1.00,0.36,0.08,0.06,0.08,0.08",16,0.30,0.06,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",5510000
easy beginner meals,Informational,320,"0.02,0.20,0.24,0.55,0.16,0.76,0.76,0.08,0.05,1.00,1.00,0.76",18,0.44,0.49,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Discussions and forums, Related searches",72600000
easy brazilian recipes,Informational,320,"1.00,0.53,0.67,0.53,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82",19,0.50,0.01,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",129
easy carnivore recipes,Informational,320,"0.54,0.35,0.67,0.81,0.54,0.67,0.54,0.54,1.00,0.43,0.43,0.35",12,0.43,0.21,"AI Overview, Image, Video, People also ask, Recipes, Related searches",118
easy crockpot recipes for pork chops,Informational,320,"0.00,0.02,0.01,0.02,0.37,0.52,0.68,0.37,0.84,0.52,1.00,0.84",16,0.31,0.08,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",136
easy daniel fast recipes,Informational,320,"0.11,0.08,0.11,0.08,0.06,0.06,0.08,0.19,1.00,0.11,0.11,0.06",17,0.47,0.34,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",112
easy frog eye salad recipe,Informational,320,"0.66,1.00,0.81,0.44,0.29,0.29,0.66,0.44,0.29,0.24,0.66,0.44",19,0.42,0.04,"Image, Video, Recipes, Related searches",138
easy meals for beginners,Informational,320,"1.00,0.50,0.81,1.00,1.00,0.81,0.63,0.38,0.38,0.63,0.63,0.50",16,0.36,0.83,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Discussions and forums, Related searches",147000000
easy noodle kugel recipe parve,Informational,320,"0.17,0.14,0.11,0.17,1.00,0.48,0.32,0.59,0.21,0.11,0.26,0.26",18,0.41,0.01,"Sitelinks, Image, Video, Recipes, Related searches",8360
easy recipes with canned cinnamon rolls,Informational,320,"0.82,0.67,0.67,0.53,0.82,0.67,0.67,1.00,0.82,0.53,0.42,0.82",17,0.33,0.02,"Sitelinks, AI Overview, Video, Short videos, People also ask, Recipes, Related searches",132
easy banana bread recipe no baking soda,Informational,260,"0.53,0.67,0.27,0.67,0.53,0.33,0.67,0.43,1.00,0.67,0.67,0.43",7,0.37,0.02,"Sitelinks, Video, People also ask, Recipes, Related searches",45700000
easy beef ramen noodle recipes,Informational,260,"0.53,0.53,0.65,0.65,0.81,0.81,0.81,1.00,1.00,0.81,1.00,0.81",17,0.43,0.01,"AI Overview, Video, Recipes, Related searches",138
easy cake ball recipe,Informational,260,"0.24,0.24,0.36,0.29,0.29,0.36,0.44,1.00,0.44,0.24,0.44,0.44",18,0.33,0.21,"Image, Video, People also ask, Recipes, Related searches",105
easy chocolate ice cream recipes,Informational,260,"0.07,0.44,0.54,0.67,1.00,0.10,0.07,0.12,0.02,0.01,0.01,0.01",19,0.56,0.02,"Image, Video, Short videos, People also ask, Recipes",3840000
easy coffee recipes,Informational,260,"1.00,0.52,0.81,1.00,0.81,0.65,0.65,1.00,1.00,1.00,0.65,0.81",13,0.33,0.15,"AI Overview, Image, Video, Video carousel, Recipes, Related searches",119
easy crawfish recipes,Informational,260,"1.00,0.66,0.52,0.82,0.66,0.52,0.27,0.34,0.52,0.43,0.52,0.66",3,0.71,0.03,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",108
easy ibs dinner recipes,Informational,260,"1.00,1.00,1.00,1.00,1.00,1.00,0.80,0.65,1.00,0.80,0.53,0.65",8,0.50,0.39,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",132
easy lactation cookies recipe,Informational,260,"1.00,0.81,1.00,0.81,0.66,0.35,0.14,0.22,0.29,0.18,0.29,0.29",12,0.48,0.07,"Sitelinks, Reviews, Video, Video carousel, People also ask, Recipes, Related searches",108
easy lactose free dinner recipes,Informational,260,"0.65,0.81,0.81,1.00,1.00,1.00,1.00,0.81,0.81,1.00,0.81,1.00",14,0.56,0.33,"AI Overview, Image, Video, People also ask, Recipes, Discussions and forums, Related searches",33600000
easy pancake recipe without baking soda or powder,Informational,260,"0.66,0.66,0.29,0.29,0.43,0.35,0.54,1.00,1.00,0.66,0.00,0.81",16,1.18,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",126
easy tres leches recipe cake mix,Informational,260,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",17,0.32,0.13,"Sitelinks, Video, Short videos, People also ask, Recipes, Related searches",138
easy week of meals,Informational,260,"0.66,1.00,0.82,0.82,0.16,0.34,0.52,0.43,0.66,0.52,0.43,0.66",14,0.41,0.84,"Sitelinks, AI Overview, Image, Video, Recipes, Related searches",527000000
